2025-08-16 13:38:01,080 - __main__ - INFO - Processed 11000 files (9.56% complete)
2025-08-16 13:38:01,137 - __main__ - INFO - Processed 11100 files, 0 changed
2025-08-16 13:38:01,193 - __main__ - INFO - Processed 11200 files, 0 changed
2025-08-16 13:38:01,250 - __main__ - INFO - Processed 11300 files, 0 changed
2025-08-16 13:38:01,309 - __main__ - INFO - Processed 11400 files, 0 changed
2025-08-16 13:38:01,367 - __main__ - INFO - Processed 11500 files, 0 changed
2025-08-16 13:38:05,298 - __main__ - INFO - Progress committed: 10.0%
2025-08-16 13:38:05,373 - __main__ - INFO - Processed 11600 files, 0 changed
2025-08-16 13:38:05,430 - __main__ - INFO - Processed 11700 files, 0 changed
2025-08-16 13:38:05,488 - __main__ - INFO - Processed 11800 files, 0 changed
2025-08-16 13:38:05,545 - __main__ - INFO - Processed 11900 files, 0 changed
2025-08-16 13:38:05,602 - __main__ - INFO - Processed 12000 files, 0 changed
2025-08-16 13:38:05,602 - __main__ - INFO - Processed 12000 files (10.43% complete)
2025-08-16 13:38:05,660 - __main__ - INFO - Processed 12100 files, 0 changed
2025-08-16 13:38:05,718 - __main__ - INFO - Processed 12200 files, 0 changed
2025-08-16 13:38:05,777 - __main__ - INFO - Processed 12300 files, 0 changed
2025-08-16 13:38:05,835 - __main__ - INFO - Processed 12400 files, 0 changed
2025-08-16 13:38:05,895 - __main__ - INFO - Processed 12500 files, 0 changed
2025-08-16 13:38:05,954 - __main__ - INFO - Processed 12600 files, 0 changed
2025-08-16 13:38:06,014 - __main__ - INFO - Processed 12700 files, 0 changed
2025-08-16 13:38:06,079 - __main__ - INFO - Processed 12800 files, 0 changed
2025-08-16 13:38:06,144 - __main__ - INFO - Processed 12900 files, 0 changed
2025-08-16 13:38:06,209 - __main__ - INFO - Processed 13000 files, 0 changed
2025-08-16 13:38:06,210 - __main__ - INFO - Processed 13000 files (11.30% complete)
2025-08-16 13:38:06,275 - __main__ - INFO - Processed 13100 files, 0 changed
2025-08-16 13:38:06,341 - __main__ - INFO - Processed 13200 files, 0 changed
2025-08-16 13:38:06,409 - __main__ - INFO - Processed 13300 files, 0 changed
2025-08-16 13:38:06,477 - __main__ - INFO - Processed 13400 files, 0 changed
2025-08-16 13:38:06,545 - __main__ - INFO - Processed 13500 files, 0 changed
2025-08-16 13:38:06,613 - __main__ - INFO - Processed 13600 files, 0 changed
2025-08-16 13:38:06,681 - __main__ - INFO - Processed 13700 files, 0 changed
2025-08-16 13:38:06,750 - __main__ - INFO - Processed 13800 files, 0 changed
2025-08-16 13:38:06,817 - __main__ - INFO - Processed 13900 files, 0 changed
2025-08-16 13:38:06,889 - __main__ - INFO - Processed 14000 files, 0 changed
2025-08-16 13:38:06,890 - __main__ - INFO - Processed 14000 files (12.16% complete)
2025-08-16 13:38:06,959 - __main__ - INFO - Processed 14100 files, 0 changed
2025-08-16 13:38:07,029 - __main__ - INFO - Processed 14200 files, 0 changed
2025-08-16 13:38:07,098 - __main__ - INFO - Processed 14300 files, 0 changed
2025-08-16 13:38:07,169 - __main__ - INFO - Processed 14400 files, 0 changed
2025-08-16 13:38:07,239 - __main__ - INFO - Processed 14500 files, 0 changed
2025-08-16 13:38:07,309 - __main__ - INFO - Processed 14600 files, 0 changed
2025-08-16 13:38:07,380 - __main__ - INFO - Processed 14700 files, 0 changed
2025-08-16 13:38:07,451 - __main__ - INFO - Processed 14800 files, 0 changed
2025-08-16 13:38:07,523 - __main__ - INFO - Processed 14900 files, 0 changed
